[2026-01-12 01:43:17] ============================================================
[2026-01-12 01:43:17] 🚀 DUELING DOUBLE DQN + DUAL HEAD TRAINING
[2026-01-12 01:43:17]    Device: cuda
[2026-01-12 01:43:17]    Action Size: 8, Duration Size: 6
[2026-01-12 01:43:17]    Loss: action_loss + 0.2 * duration_loss
[2026-01-12 01:43:17]    Layer: 3, MaxSize: 2048, LR: 0.001
[2026-01-12 01:43:17]    Log File: DDDQN_DualHead_log_lr_0_001_L3_S2048.txt
[2026-01-12 01:43:17] ============================================================
[2026-01-12 01:43:19] 
📊 Training started at 01:43:19
[2026-01-12 01:43:19] ------------------------------------------------------------
[2026-01-12 01:46:56] [Ep  5500] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -161.4 | A_Loss: 29.477 | D_Loss: 29.534 | Speed: 24.6 ep/s | Avg Speed:  66.26 km/h | Time: 01:46:56
[2026-01-12 01:47:00] [Ep  5600] Goal:   0 | Seg: 0 | ε: 0.100 | Reward:   -158.4 | A_Loss: 29.398 | D_Loss: 29.448 | Speed: 24.6 ep/s | Avg Speed:  66.91 km/h | Time: 01:47:00
[2026-01-12 01:47:04] [Ep  5700] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -160.2 | A_Loss: 29.611 | D_Loss: 29.670 | Speed: 24.1 ep/s | Avg Speed:  66.61 km/h | Time: 01:47:04
[2026-01-12 01:47:08] [Ep  5800] Goal:   0 | Seg: 0 | ε: 0.100 | Reward:   -156.6 | A_Loss: 29.292 | D_Loss: 29.349 | Speed: 24.6 ep/s | Avg Speed:  66.87 km/h | Time: 01:47:08
[2026-01-12 01:47:12] [Ep  5900] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -153.2 | A_Loss: 29.191 | D_Loss: 29.244 | Speed: 24.0 ep/s | Avg Speed:  67.39 km/h | Time: 01:47:12
[2026-01-12 01:47:17] [Ep  6000] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -155.0 | A_Loss: 29.142 | D_Loss: 29.197 | Speed: 24.3 ep/s | Avg Speed:  67.63 km/h | Time: 01:47:17
[2026-01-12 01:47:21] [Ep  6100] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -155.5 | A_Loss: 28.788 | D_Loss: 28.835 | Speed: 24.6 ep/s | Avg Speed:  66.59 km/h | Time: 01:47:21
[2026-01-12 01:47:25] [Ep  6200] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -155.7 | A_Loss: 29.660 | D_Loss: 29.702 | Speed: 25.1 ep/s | Avg Speed:  67.65 km/h | Time: 01:47:25
[2026-01-12 01:47:29] [Ep  6300] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -158.8 | A_Loss: 29.677 | D_Loss: 29.720 | Speed: 25.9 ep/s | Avg Speed:  65.95 km/h | Time: 01:47:29
[2026-01-12 01:47:32] [Ep  6400] Goal:   0 | Seg: 0 | ε: 0.100 | Reward:   -156.0 | A_Loss: 29.122 | D_Loss: 29.174 | Speed: 26.1 ep/s | Avg Speed:  66.70 km/h | Time: 01:47:32
[2026-01-12 01:47:36] [Ep  6500] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -156.5 | A_Loss: 29.295 | D_Loss: 29.352 | Speed: 26.5 ep/s | Avg Speed:  67.97 km/h | Time: 01:47:36
[2026-01-12 01:47:40] [Ep  6600] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -155.0 | A_Loss: 29.683 | D_Loss: 29.722 | Speed: 26.3 ep/s | Avg Speed:  67.35 km/h | Time: 01:47:40
[2026-01-12 01:47:44] [Ep  6700] Goal:   0 | Seg: 0 | ε: 0.100 | Reward:   -156.9 | A_Loss: 29.527 | D_Loss: 29.572 | Speed: 26.2 ep/s | Avg Speed:  67.33 km/h | Time: 01:47:44
[2026-01-12 01:47:47] [Ep  6800] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -159.1 | A_Loss: 29.904 | D_Loss: 29.958 | Speed: 26.7 ep/s | Avg Speed:  66.24 km/h | Time: 01:47:47
[2026-01-12 01:47:52] [Ep  6900] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -157.7 | A_Loss: 29.595 | D_Loss: 29.653 | Speed: 24.6 ep/s | Avg Speed:  67.39 km/h | Time: 01:47:52
[2026-01-12 01:47:56] [Ep  7000] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -156.4 | A_Loss: 29.420 | D_Loss: 29.466 | Speed: 24.2 ep/s | Avg Speed:  67.23 km/h | Time: 01:47:56
[2026-01-12 01:48:00] [Ep  7100] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -152.8 | A_Loss: 29.746 | D_Loss: 29.798 | Speed: 23.9 ep/s | Avg Speed:  67.55 km/h | Time: 01:48:00
[2026-01-12 01:48:04] [Ep  7200] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -154.9 | A_Loss: 29.620 | D_Loss: 29.669 | Speed: 24.2 ep/s | Avg Speed:  67.27 km/h | Time: 01:48:04
[2026-01-12 01:48:08] [Ep  7300] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -155.6 | A_Loss: 29.246 | D_Loss: 29.300 | Speed: 24.2 ep/s | Avg Speed:  67.00 km/h | Time: 01:48:08
[2026-01-12 01:48:12] [Ep  7400] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -158.7 | A_Loss: 29.491 | D_Loss: 29.537 | Speed: 24.3 ep/s | Avg Speed:  65.67 km/h | Time: 01:48:12
[2026-01-12 01:48:16] [Ep  7500] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -154.6 | A_Loss: 29.766 | D_Loss: 29.812 | Speed: 25.1 ep/s | Avg Speed:  67.55 km/h | Time: 01:48:16
[2026-01-12 01:48:20] [Ep  7600] Goal:   0 | Seg: 0 | ε: 0.100 | Reward:   -156.9 | A_Loss: 30.133 | D_Loss: 30.182 | Speed: 24.2 ep/s | Avg Speed:  66.51 km/h | Time: 01:48:20
[2026-01-12 01:48:24] [Ep  7700] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -155.5 | A_Loss: 29.680 | D_Loss: 29.716 | Speed: 24.6 ep/s | Avg Speed:  67.66 km/h | Time: 01:48:24
[2026-01-12 01:48:29] [Ep  7800] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -157.2 | A_Loss: 29.964 | D_Loss: 30.002 | Speed: 24.2 ep/s | Avg Speed:  67.62 km/h | Time: 01:48:29
[2026-01-12 01:48:33] [Ep  7900] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -157.1 | A_Loss: 29.876 | D_Loss: 29.911 | Speed: 24.7 ep/s | Avg Speed:  66.93 km/h | Time: 01:48:33
[2026-01-12 01:48:37] [Ep  8000] Goal:   0 | Seg: 0 | ε: 0.100 | Reward:   -157.4 | A_Loss: 29.413 | D_Loss: 29.446 | Speed: 24.2 ep/s | Avg Speed:  66.37 km/h | Time: 01:48:37
[2026-01-12 01:48:41] [Ep  8100] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -156.4 | A_Loss: 29.983 | D_Loss: 30.001 | Speed: 24.3 ep/s | Avg Speed:  66.41 km/h | Time: 01:48:41
[2026-01-12 01:48:45] [Ep  8200] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -157.9 | A_Loss: 30.222 | D_Loss: 30.236 | Speed: 23.1 ep/s | Avg Speed:  66.38 km/h | Time: 01:48:45
[2026-01-12 01:48:49] [Ep  8300] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -155.0 | A_Loss: 29.624 | D_Loss: 29.639 | Speed: 24.1 ep/s | Avg Speed:  67.49 km/h | Time: 01:48:49
[2026-01-12 01:48:53] [Ep  8400] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -160.0 | A_Loss: 29.751 | D_Loss: 29.779 | Speed: 24.2 ep/s | Avg Speed:  66.89 km/h | Time: 01:48:53
[2026-01-12 01:48:58] [Ep  8500] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -155.4 | A_Loss: 29.230 | D_Loss: 29.259 | Speed: 24.4 ep/s | Avg Speed:  66.33 km/h | Time: 01:48:58
[2026-01-12 01:49:02] [Ep  8600] Goal:   0 | Seg: 0 | ε: 0.100 | Reward:   -155.9 | A_Loss: 29.533 | D_Loss: 29.551 | Speed: 24.3 ep/s | Avg Speed:  66.29 km/h | Time: 01:49:02
[2026-01-12 01:49:06] [Ep  8700] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -156.9 | A_Loss: 29.827 | D_Loss: 29.844 | Speed: 24.3 ep/s | Avg Speed:  66.39 km/h | Time: 01:49:06
[2026-01-12 01:49:10] [Ep  8800] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -157.6 | A_Loss: 29.843 | D_Loss: 29.859 | Speed: 24.1 ep/s | Avg Speed:  67.48 km/h | Time: 01:49:10
[2026-01-12 01:49:14] [Ep  8900] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -155.5 | A_Loss: 29.783 | D_Loss: 29.783 | Speed: 23.9 ep/s | Avg Speed:  66.40 km/h | Time: 01:49:14
[2026-01-12 01:49:18] [Ep  9000] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -155.3 | A_Loss: 29.991 | D_Loss: 29.993 | Speed: 23.4 ep/s | Avg Speed:  67.12 km/h | Time: 01:49:18
[2026-01-12 01:49:23] [Ep  9100] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -158.8 | A_Loss: 30.376 | D_Loss: 30.373 | Speed: 24.0 ep/s | Avg Speed:  66.67 km/h | Time: 01:49:23
[2026-01-12 01:49:27] [Ep  9200] Goal:   0 | Seg: 0 | ε: 0.100 | Reward:   -151.3 | A_Loss: 30.471 | D_Loss: 30.467 | Speed: 24.1 ep/s | Avg Speed:  67.06 km/h | Time: 01:49:27
[2026-01-12 01:49:31] [Ep  9300] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -158.3 | A_Loss: 30.116 | D_Loss: 30.112 | Speed: 24.2 ep/s | Avg Speed:  67.15 km/h | Time: 01:49:31
